url,google_verdict,verdict,expected_label,label_match,google_available,google_safe_browsing,model_prediction,model_status,model_confidence,google_flagged,reasoning,error,raw_json
http://codeforces.com,clean,blocked by model,,,True,{},PHISHING,0,59.677757263183594,False,Qty Dot Domain=1.0 (increases phishing risk) | Qty Tld Url=3.0 (increases phishing risk),,"{""google_available"": true, ""google_flagged"": false, ""google_safe_browsing"": {}, ""model_confidence"": 59.677757263183594, ""model_prediction"": ""PHISHING"", ""model_reasoning"": [{""feature"": ""Qty Dot Domain"", ""impact"": ""increases phishing risk"", ""shap_value"": 0.9897260665893555, ""value"": 1.0}, {""feature"": ""Qty Tld Url"", ""impact"": ""increases phishing risk"", ""shap_value"": 0.44281312823295593, ""value"": 3.0}], ""model_status"": 0, ""url"": ""http://codeforces.com""}"
http://diamondrelated.net,clean,blocked by model,,,True,{},PHISHING,0,62.1378173828125,False,Qty Dot Domain=1.0 (increases phishing risk) | Qty Tld Url=3.0 (increases phishing risk),,"{""google_available"": true, ""google_flagged"": false, ""google_safe_browsing"": {}, ""model_confidence"": 62.1378173828125, ""model_prediction"": ""PHISHING"", ""model_reasoning"": [{""feature"": ""Qty Dot Domain"", ""impact"": ""increases phishing risk"", ""shap_value"": 0.9429249167442322, ""value"": 1.0}, {""feature"": ""Qty Tld Url"", ""impact"": ""increases phishing risk"", ""shap_value"": 0.36093631386756897, ""value"": 3.0}], ""model_status"": 0, ""url"": ""http://diamondrelated.net""}"
http://diamonds4yuu.blogspot.bg,clean,blocked by model,,,True,{},PHISHING,0,89.03668975830078,False,Qty Tld Url=2.0 (increases phishing risk) | Qty Dot Domain=2.0 (decreases phishing risk),,"{""google_available"": true, ""google_flagged"": false, ""google_safe_browsing"": {}, ""model_confidence"": 89.03668975830078, ""model_prediction"": ""PHISHING"", ""model_reasoning"": [{""feature"": ""Qty Tld Url"", ""impact"": ""increases phishing risk"", ""shap_value"": 0.42643919587135315, ""value"": 2.0}, {""feature"": ""Qty Dot Domain"", ""impact"": ""decreases phishing risk"", ""shap_value"": -0.3075622022151947, ""value"": 2.0}], ""model_status"": 0, ""url"": ""http://diamonds4yuu.blogspot.bg""}"
http://diamonds4yuu.blogspot.co.ke,clean,blocked by model,,,True,{},PHISHING,0,60.291202545166016,False,Qty Tld Url=2.0 (increases phishing risk) | Domain Length=27.0 (increases phishing risk) | Qty Dot Domain=3.0 (decreases phishing risk),,"{""google_available"": true, ""google_flagged"": false, ""google_safe_browsing"": {}, ""model_confidence"": 60.291202545166016, ""model_prediction"": ""PHISHING"", ""model_reasoning"": [{""feature"": ""Qty Tld Url"", ""impact"": ""increases phishing risk"", ""shap_value"": 1.1518574953079224, ""value"": 2.0}, {""feature"": ""Domain Length"", ""impact"": ""increases phishing risk"", ""shap_value"": 0.5570436120033264, ""value"": 27.0}, {""feature"": ""Qty Dot Domain"", ""impact"": ""decreases phishing risk"", ""shap_value"": -0.5383526086807251, ""value"": 3.0}], ""model_status"": 0, ""url"": ""http://diamonds4yuu.blogspot.co.ke""}"
http://diamonds4yuu.blogspot.com,clean,allowed,,,True,{},Legitimate,1,62.42061996459961,False,Qty Vowels Domain=8.0 (increases phishing risk) | Qty Tld Url=3.0 (increases phishing risk),,"{""google_available"": true, ""google_flagged"": false, ""google_safe_browsing"": {}, ""model_confidence"": 62.42061996459961, ""model_prediction"": ""Legitimate"", ""model_reasoning"": [{""feature"": ""Qty Vowels Domain"", ""impact"": ""increases phishing risk"", ""shap_value"": 1.0515031814575195, ""value"": 8.0}, {""feature"": ""Qty Tld Url"", ""impact"": ""increases phishing risk"", ""shap_value"": 0.8458908796310425, ""value"": 3.0}], ""model_status"": 1, ""url"": ""http://diamonds4yuu.blogspot.com""}"
http://diamonds4yuu.blogspot.com.es,clean,blocked by model,,,True,{},PHISHING,0,66.93541717529297,False,Qty Tld Url=2.0 (increases phishing risk) | Qty Dot Domain=3.0 (decreases phishing risk) | Domain Length=28.0 (increases phishing risk),,"{""google_available"": true, ""google_flagged"": false, ""google_safe_browsing"": {}, ""model_confidence"": 66.93541717529297, ""model_prediction"": ""PHISHING"", ""model_reasoning"": [{""feature"": ""Qty Tld Url"", ""impact"": ""increases phishing risk"", ""shap_value"": 1.1609219312667847, ""value"": 2.0}, {""feature"": ""Qty Dot Domain"", ""impact"": ""decreases phishing risk"", ""shap_value"": -0.5424120426177979, ""value"": 3.0}, {""feature"": ""Domain Length"", ""impact"": ""increases phishing risk"", ""shap_value"": 0.47013232111930847, ""value"": 28.0}], ""model_status"": 0, ""url"": ""http://diamonds4yuu.blogspot.com.es""}"
http://diamonds4yuu.blogspot.com.ng,clean,blocked by model,,,True,{},PHISHING,0,58.970367431640625,False,Qty Tld Url=2.0 (increases phishing risk) | Qty Dot Domain=3.0 (decreases phishing risk) | Qty Vowels Domain=8.0 (increases phishing risk),,"{""google_available"": true, ""google_flagged"": false, ""google_safe_browsing"": {}, ""model_confidence"": 58.970367431640625, ""model_prediction"": ""PHISHING"", ""model_reasoning"": [{""feature"": ""Qty Tld Url"", ""impact"": ""increases phishing risk"", ""shap_value"": 1.1584261655807495, ""value"": 2.0}, {""feature"": ""Qty Dot Domain"", ""impact"": ""decreases phishing risk"", ""shap_value"": -0.4712947905063629, ""value"": 3.0}, {""feature"": ""Qty Vowels Domain"", ""impact"": ""increases phishing risk"", ""shap_value"": 0.4549921751022339, ""value"": 8.0}], ""model_status"": 0, ""url"": ""http://diamonds4yuu.blogspot.com.ng""}"
http://diamonds4yuu.blogspot.cz,clean,blocked by model,,,True,{},PHISHING,0,89.03668975830078,False,Qty Tld Url=2.0 (increases phishing risk) | Qty Dot Domain=2.0 (decreases phishing risk),,"{""google_available"": true, ""google_flagged"": false, ""google_safe_browsing"": {}, ""model_confidence"": 89.03668975830078, ""model_prediction"": ""PHISHING"", ""model_reasoning"": [{""feature"": ""Qty Tld Url"", ""impact"": ""increases phishing risk"", ""shap_value"": 0.42643919587135315, ""value"": 2.0}, {""feature"": ""Qty Dot Domain"", ""impact"": ""decreases phishing risk"", ""shap_value"": -0.3075622022151947, ""value"": 2.0}], ""model_status"": 0, ""url"": ""http://diamonds4yuu.blogspot.cz""}"
http://diamonds4yuu.blogspot.fi,clean,allowed,,,True,{},Legitimate,1,53.13538360595703,False,Qty Vowels Domain=8.0 (increases phishing risk) | Qty Tld Url=2.0 (increases phishing risk),,"{""google_available"": true, ""google_flagged"": false, ""google_safe_browsing"": {}, ""model_confidence"": 53.13538360595703, ""model_prediction"": ""Legitimate"", ""model_reasoning"": [{""feature"": ""Qty Vowels Domain"", ""impact"": ""increases phishing risk"", ""shap_value"": 0.9771952629089355, ""value"": 8.0}, {""feature"": ""Qty Tld Url"", ""impact"": ""increases phishing risk"", ""shap_value"": 0.7947012186050415, ""value"": 2.0}], ""model_status"": 1, ""url"": ""http://diamonds4yuu.blogspot.fi""}"
http://diamonds4yuu.blogspot.hk,clean,blocked by model,,,True,{},PHISHING,0,89.03668975830078,False,Qty Tld Url=2.0 (increases phishing risk) | Qty Dot Domain=2.0 (decreases phishing risk),,"{""google_available"": true, ""google_flagged"": false, ""google_safe_browsing"": {}, ""model_confidence"": 89.03668975830078, ""model_prediction"": ""PHISHING"", ""model_reasoning"": [{""feature"": ""Qty Tld Url"", ""impact"": ""increases phishing risk"", ""shap_value"": 0.42643919587135315, ""value"": 2.0}, {""feature"": ""Qty Dot Domain"", ""impact"": ""decreases phishing risk"", ""shap_value"": -0.3075622022151947, ""value"": 2.0}], ""model_status"": 0, ""url"": ""http://diamonds4yuu.blogspot.hk""}"
